CellID,N,Mean_gExc_Stat,Mean_gInh_Stat,gExc_Phase0,gInh_Phase0
Cell 1 (C),46,0.0104712,0.109345,0.0558979,2.03823
Cell 2 (C),42,0.00593809,0.0552214,0.127722,0.176273
Cell 2 (V),32,0.00433055,0.123738,0.216393,0.149809
Cell 2 (V-2),49,0.00354187,0.0254291,0.103124,0.0244186
Cell 3 (C),29,0.00796787,0.104919,0.0179702,0.289731
Cell 3 (V),51,0.0328073,0.0987611,0.0114805,0.8446
Cell 4 (C),201,0.00775949,0.0808619,0.0142529,0.362766
Cell 4 (V),59,0.0070282,0.0816788,0.0239055,0.332494
Cell 5 (C),102,0.00262145,0.0213387,0.017274,0.344885
Cell 5 (V),109,0.00706929,0.0511937,0.0355352,0.297062
Cell 6 (V),93,0.0412283,0.0702627,0.0530711,0.610303
Cell 7 (C),70,0.00853823,0.139126,0.0396106,0.303844
Cell 7 (V),75,0.0176875,0.112898,0.0234396,0.330946
Cell 8 (C),127,0.00414769,0.0159814,0.0149923,0.482291
Cell 8 (V),84,0.00393574,0.0278031,0.0226006,0.568979
Cell 9 (C),58,0.00395609,0.0815736,0.176192,0.879783
Cell 9 (V),87,0.0054337,0.0374811,0.0508796,0.523987
