CellID,N,Mean_gExc_Stat,Mean_gInh_Stat,gExc_Phase0,gInh_Phase0
Cell 1 (C),52,0.00527787,0.32242,0.149895,0.100432
Cell 2 (C),45,0.00312513,0.247615,0.270131,0.208485
Cell 2 (V),49,0.00331946,0.247382,0.249283,0.128043
Cell 3 (V),41,0.0125149,0.605997,0.312331,0.33133
Cell 4 (C),76,0.0334555,0.917992,0.719616,1.0381
Cell 4 (V-2),49,0.00595172,0.113121,0.179894,-8.54019e-17
Cell 5 (C),80,0.00317088,0.196878,0.158892,0.104678
Cell 5 (V),49,0.00595172,0.113121,0.179894,-8.54019e-17
Cell 6 (C),56,0.00784263,0.718926,0.228574,0.352826
Cell 6 (V),54,0.0171936,0.170076,0.254445,0.144003
Cell 7 (C),144,0.0124873,0.174499,0.142262,0.0860786
Cell 7 (V),98,0.0277806,0.217885,0.237099,0.238103
Cell 8 (C),46,0.00472959,0.0820939,0.103502,0.0836475
Cell 8 (V),44,0.00412736,0.0698965,0.0832571,0.019469
Cell 9 (C),60,0.00508993,0.0793126,0.123485,0.0396576
Cell 10 (C-1),45,0.0752009,0.519952,1.07919,0.744122
Cell 10 (C-2),32,0.0409155,0.926002,0.752896,0.620651
Cell 11 (C),56,0.0107088,0.121633,0.0821531,0.01528
Cell 11 (V),32,0.00944412,0.172106,0.0722319,0.0586362
Cell 12 (C),27,0.00576753,0.0781224,0.0225958,0.0708712
