Cell_ID,G_inh_tr,G_exc_tr,G_inh_st,G_exc_st,G_inh_tr_min,G_inh_tr_max,G_exc_tr_min,G_exc_tr_max,G_inh_st_min,G_inh_st_max,G_exc_st_min,G_exc_st_max,Ta,Du,q
VGAT-E-Cell1-C,0.503622,0.200834,0.0549934,0.0155914,0.0862521,1.36955,0.0375192,0.556435,3.17579e-17,0.115223,0.0,0.0363761,7.08952,0.0137343,0.00525
VGAT-E-Cell2-C,0.0528177,0.0435498,0.0371778,0.00436412,4.82352e-17,0.142342,0.00153226,0.14648,0.0143586,0.0642391,0.0,0.0086364,8.13812,0.0115418,0.00525
VGAT-E-Cell2-V,0.0985016,0.0923569,0.120944,0.00714175,4.80108e-17,0.174911,0.00139438,0.225185,0.0953147,0.15885,-1.2926e-16,0.0154772,6.84759,0.0147817,0.0054
VGAT-E-Cell2-V-2,0.0402406,0.0591276,0.0294381,0.0110796,0.00265474,0.104007,0.0103808,0.11104,9.15222e-17,0.0917704,0.0,0.033123,7.31333,0.0119929,0.00575
VGAT-E-Cell3-C,0.293625,0.0451651,0.0951596,0.00860728,0.180691,0.389763,0.0184177,0.0670013,-3.11009e-17,0.195215,0.0,0.019178,3.72876,0.0527586,0.00305
VGAT-E-Cell3-V,0.51788,0.128226,0.0737477,0.0442269,0.186825,0.835654,0.0511385,0.196963,-9.64565e-17,0.197687,1.21657e-16,0.0824051,3.88316,0.0496867,0.0031
VGAT-E-Cell4-C,0.171987,0.0537365,0.04029,0.0130364,0.0877401,0.305979,0.0242588,0.102063,1.33705e-17,0.0996067,0.0,0.0275912,11.3218,0.0033198,0.0037
VGAT-E-Cell4-V,0.170135,0.059915,0.0469723,0.0140991,0.0805688,0.245543,0.0269115,0.0893906,4.57165e-17,0.100728,0.0,0.0354848,6.79022,0.00775625,0.0036
VGAT-E-Cell5-C,0.208244,0.0637302,0.0634641,0.0115455,0.11511,0.362905,0.0295231,0.119491,-2.81052e-17,0.156783,0.0,0.0366302,18.434,0.00168915,0.0036
VGAT-E-Cell5-V,0.195973,0.0582926,0.0752628,0.0108989,0.0929476,0.350148,0.0211882,0.110639,1.56667e-17,0.124782,0.0,0.0274745,9.90421,0.00407411,0.0036
VGAT-E-Cell6-V,0.289243,0.11044,0.064665,0.0389665,0.122119,0.491225,0.0385905,0.198025,4.5403e-18,0.159996,0.0,0.0847505,4.88774,0.0169395,0.00545
VGAT-E-Cell7-C,0.169906,0.0710418,0.0735241,0.0223209,0.103355,0.222504,0.0447158,0.0989733,6.85569e-17,0.156411,0.0,0.0624867,5.64014,0.0130189,0.0042
VGAT-E-Cell7-V,0.200053,0.0905887,0.0777208,0.0449769,0.162544,0.251487,0.0701603,0.11818,-1.29976e-16,0.176069,0.0,0.0892216,5.52347,0.0139043,0.00425
VGAT-E-Cell8-C,0.161442,0.0579728,0.01064,0.00519724,0.0319239,0.367924,0.0125866,0.132995,-1.08696e-16,0.0313284,0.0,0.0135979,4.74031,0.0178516,0.00555
VGAT-E-Cell8-V,0.181332,0.0686244,0.0159128,0.00654494,0.0301448,0.424291,0.0143287,0.160793,2.17535e-17,0.0445848,0.0,0.015406,4.47901,0.0189402,0.00545
VGAT-E-Cell9-C,0.417201,0.184334,0.0976011,0.0257999,0.115602,0.820216,0.0602871,0.390682,-5.296e-17,0.35436,0.0,0.109751,3.93469,0.0241223,0.005
VGAT-E-Cell9-V,0.174625,0.0930242,0.0325953,0.010201,0.0655083,0.394152,0.0251211,0.254177,-4.65516e-17,0.0739498,0.0,0.0265778,4.33913,0.0209508,0.0052
VGAT-I-Cell1-C,0.0859814,0.069862,0.0258987,0.00997608,0.00828811,0.277359,0.0244788,0.176191,-1.19288e-16,0.0589727,0.0,0.0251782,6.0919,0.0153562,0.00545
VGAT-I-Cell1-V,0.0913333,0.0680745,0.100637,0.0155195,-7.12613e-17,0.206461,0.0310318,0.128549,0.00841968,0.152212,0.0,0.0341358,5.742,0.0168568,0.00535
VGAT-I-Cell2-C,0.0583063,0.0273353,0.11253,0.0049916,-8.31805e-17,0.0995464,0.0100522,0.0437858,0.068217,0.143242,0.0,0.0113282,4.03419,0.0254951,0.00535
VGAT-I-Cell2-V,0.411882,0.180577,0.378789,0.0430484,-4.35235e-17,0.590992,0.10039,0.318956,0.251916,0.599966,0.0,0.115161,4.95175,0.02073,0.0053
VGAT-I-Cell3-C,0.0241358,0.0285136,0.0482051,0.00198194,-8.80594e-18,0.058688,0.00517955,0.0684281,0.00244766,0.0977869,1.64378e-16,0.00636652,6.23289,0.0386351,2.66448
